SL,date,LAST,a,b,c,d,e,f,g,h,i,j,k,l,m,n,INT
357,4/1/1983,30.63,263269,2496,32352,126507,16934,84980,2536,4727,1432,186,162,523,9,454,10.4
356,5/2/1983,30.25,267575,2434,31863,129595,17349,86334,2605,5089,1771,385,122,455,1,518,10.38
355,6/1/1983,31.38,260014,2290,31605,125002,16926,84191,2438,5326,1973,467,188,335,11,586,10.85
354,7/1/1983,32,267717,2283,31261,128699,17721,87753,2628,5741,2251,525,182,434,30,634,11.38
353,8/1/1983,31.59,269053,2359,32771,129402,17382,87139,2621,6159,2728,464,448,511,1,542,11.85
352,9/1/1983,30.36,263530,2319,31321,126914,17198,85778,2486,6129,2595,324,587,432,21,533,11.65
351,10/3/1983,30.37,271890,2248,31986,131306,17923,88427,2565,5258,2108,307,638,337,11,532,11.54
350,11/1/1983,29.23,263111,2095,32139,126879,16960,85038,2533,5210,1910,215,545,452,21,556,11.69
349,12/1/1983,29.6,260293,1977,28606,125440,16747,87523,2628,5033,1969,329,569,415,18,604,11.83
348,1/2/1984,29.98,274902,2037,32192,133809,17965,88899,2575,5430,1965,243,477,549,1,635,11.67
347,2/1/1984,30.55,257357,1953,32089,124060,16146,83109,2437,5693,1896,244,324,478,26,620,11.84
346,3/1/1984,30.85,268829,2020,32280,133825,17360,83344,2607,5301,1811,269,310,358,11,694,12.32
345,4/2/1984,30.26,265872,1955,32825,127555,16750,86787,2493,5372,1962,288,320,593,0,705,12.63
344,5/1/1984,30.83,277616,1953,33535,133605,18716,89807,2688,5979,2677,289,329,627,11,722,13.41
343,6/1/1984,29.75,265570,1847,32745,128904,19070,83004,1587,5482,2227,243,411,640,5,506,13.56
342,7/2/1984,27.6,275432,1882,33525,132837,19629,87559,2662,5407,2241,204,429,539,32,577,13.36
341,8/1/1984,29.23,273091,1849,31689,132399,18268,88886,2812,5044,2009,114,438,475,0,547,12.72
340,9/3/1984,29.66,269798,1948,33525,128890,18410,87025,2684,5252,2002,160,159,715,0,550,12.52
339,10/1/1984,28.46,276075,1943,33727,132161,18733,89511,2652,5779,2062,208,287,585,0,682,12.16
338,11/1/1984,27.31,269357,1867,32837,128458,18170,88025,2532,5587,1954,163,183,564,0,640,11.57
337,12/3/1984,26.41,275797,1888,32790,134185,18347,88587,2670,4933,1765,166,224,459,6,675,11.5
336,1/1/1985,26.41,270926,1837,31766,131543,19350,86430,2633,4415,1405,262,106,481,8,616,11.38
335,2/1/1985,26.73,252695,1648,28655,119662,17569,85161,2283,3913,1220,119,108,524,8,730,11.51
334,3/1/1985,28.29,281943,1882,32804,133939,19729,93589,2545,4673,1505,164,85,588,9,909,11.86
333,4/1/1985,27.63,271299,1819,32584,129841,18865,88190,2253,5316,1928,280,201,684,16,890,11.43
332,5/1/1985,27.84,283093,1813,33364,133330,19660,94926,2605,5776,1976,381,41,552,45,823,10.85
331,6/3/1985,26.87,270653,1752,30975,127897,18768,91261,2576,4929,1690,357,26,452,37,720,10.16
330,7/1/1985,27.12,277410,1690,32567,131713,19405,92035,2516,4950,1825,381,44,573,8,610,10.31
329,8/1/1985,28.08,272881,1695,33041,126661,19634,91850,2559,4718,1740,207,46,568,21,664,10.33
328,9/2/1985,29.08,268610,1688,31279,125138,19228,91277,2266,4970,1802,285,27,808,43,783,10.37
327,10/1/1985,30.38,278068,1795,33615,128799,19682,94177,2466,5121,1958,305,251,676,12,825,10.24
326,11/1/1985,29.75,267059,1623,31041,125817,18638,89940,2633,6116,2440,325,430,727,27,766,9.78
325,12/2/1985,26.3,279916,1719,32391,132526,18792,94488,2540,5831,2430,432,642,625,36,902,9.26
324,1/1/1986,18.83,283248,1620,33136,133735,19788,94969,2417,5573,2298,278,664,629,10,823,9.19
323,2/3/1986,13.26,256855,1433,29650,121334,17567,86871,2148,4676,1807,204,574,518,23,690,8.7
322,3/3/1986,10.42,279413,1532,31547,132673,19602,94059,2440,4712,2145,328,482,797,16,750,7.78
321,4/1/1986,13.3,265917,1518,30116,126049,18627,89607,2391,5439,2576,319,698,831,43,798,7.3
320,5/1/1986,14.3,273964,1550,29705,128826,18851,95032,2512,6400,2749,398,574,899,122,881,7.71
319,6/2/1986,12.78,258700,1452,28561,120645,17601,90441,2481,6848,3010,382,662,772,126,753,7.8
318,7/1/1986,11.15,268448,1468,29240,126077,18141,93522,2514,6942,3307,542,738,730,114,763,7.3
317,8/1/1986,15.9,259580,1382,27491,123293,17849,89565,2435,7168,3346,606,680,916,119,801,7.17
316,9/1/1986,14.77,249843,1220,27148,118788,17002,85685,2240,7090,3383,684,810,856,102,801,7.45
315,10/1/1986,15.27,260984,1370,27835,121033,17716,93030,2277,6427,3276,530,697,863,99,842,7.43
314,11/3/1986,15,252374,1300,26233,118962,17168,88711,2303,6592,3088,483,868,843,125,960,7.25
313,12/1/1986,17.94,258926,1337,28152,122908,16976,89551,2448,6700,2976,511,769,841,141,809,7.11
312,1/1/1987,18.75,262888,1245,26595,121473,17808,95766,2269,6353,2764,346,875,899,176,799,7.08
311,2/2/1987,16.6,234880,1134,24991,110488,15936,82331,2075,5984,2785,256,776,791,119,783,7.25
310,3/2/1987,18.83,262398,1314,27277,121984,17293,94530,2141,5794,2305,312,430,702,131,738,7.25
309,4/1/1987,18.73,254945,1286,27207,117022,16912,92518,2484,5911,2430,512,463,710,156,818,8.02
308,5/1/1987,19.38,258426,1310,26253,118236,17379,95248,2652,6073,2675,550,499,913,102,884,8.61
307,6/1/1987,20.29,248356,1236,26239,113321,16744,90816,2712,6769,3122,546,782,808,144,912,8.4
306,7/1/1987,21.37,255782,1289,26937,117022,17246,93288,2918,7588,3533,792,756,854,137,901,8.45
305,8/3/1987,19.73,254508,1271,26154,116514,17202,93367,3032,7454,3748,732,961,831,179,841,8.76
304,9/1/1987,19.59,246163,1252,25904,113340,16691,88977,2490,7178,3560,615,902,821,157,846,9.42
303,10/1/1987,19.96,259272,1284,26849,117779,17509,95850,2880,7068,3576,518,1051,829,140,938,9.52
302,11/2/1987,18.51,251915,1212,25214,113514,16795,95180,2828,7068,3169,607,637,771,194,827,8.86
301,12/1/1987,16.7,257844,1301,26041,116081,17400,97021,2610,6833,3033,613,876,717,142,883,8.99
300,1/1/1988,16.94,255743,1177,25415,116160,17535,95456,2668,7181,3134,406,894,766,168,959,8.67
299,2/1/1988,16.01,242848,1159,25137,108759,16566,91228,2397,7256,3461,506,1307,846,67,1033,8.21
298,3/1/1988,17.08,259587,1256,26503,116190,17582,98056,2437,6944,3073,589,950,803,203,1002,8.37
297,4/1/1988,17.99,248629,1159,25518,111459,17246,93247,2757,7270,3413,711,937,833,155,985,8.72
296,5/2/1988,17.51,255089,1204,26115,114210,17653,95907,2753,7469,3501,601,1041,841,135,1001,9.09
295,6/1/1988,15.16,245102,1202,25542,109677,16890,91792,2646,7239,3632,875,923,850,37,1032,8.92
294,7/1/1988,16.31,249229,1168,24865,112170,17171,93855,2595,7297,3589,715,1076,724,105,972,9.06
293,8/1/1988,15.18,250459,1197,25536,111532,16880,95313,2742,7386,3703,623,1169,830,79,1009,9.26
292,9/1/1988,13.37,236847,1112,24357,102858,16250,92270,2540,7506,3685,546,1066,824,151,936,8.98
291,10/3/1988,13.58,248704,1062,24532,111198,16772,95140,2695,7830,3861,686,1244,772,160,996,8.8
290,11/1/1988,15.32,240700,1027,23708,108138,15954,91873,2553,7714,3510,489,986,779,145,1080,8.96
289,12/1/1988,17.24,246189,1065,24766,110800,16195,93363,2499,7727,3674,667,1289,669,201,990,9.11
288,1/2/1989,17.03,246056,1118,25126,111222,16565,92025,2621,8255,4212,782,1449,941,261,1065,9.09
287,2/1/1989,18.15,218076,980,21010,98200,14485,83400,2477,8032,3845,567,1290,775,146,1007,9.17
286,3/1/1989,20.19,234822,1104,24654,109001,16360,83704,2749,7456,3693,702,1108,909,185,961,9.36
285,4/3/1989,20.42,233147,1050,23686,105520,15725,87165,2707,8078,3927,750,1226,831,168,877,9.18
284,5/1/1989,19.9,242303,1138,24143,108023,16260,92739,2941,7778,4025,789,1155,853,122,901,8.86
283,6/1/1989,20.27,228731,1076,23133,103160,15250,86113,2754,7977,4106,864,1249,778,139,921,8.28
282,7/3/1989,18.31,230766,1022,23434,105632,15856,84822,2913,8369,4437,1094,1182,794,108,849,8.02
281,8/1/1989,18.83,233878,1092,23639,104478,15455,89214,2841,8560,4531,946,1316,834,191,911,8.11
280,9/1/1989,20.13,226436,1075,22607,101085,15371,86297,2820,8002,4236,867,1109,914,163,949,8.19
279,10/2/1989,19.94,231036,1132,23556,101511,15787,89049,2728,8301,4177,713,1158,1004,147,857,8.01
278,11/1/1989,19.89,226082,1031,22639,100098,15090,87225,2640,8341,4353,770,1342,924,227,911,7.87
277,12/1/1989,21.82,227439,933,21490,99649,15535,89832,2885,7579,4111,915,1115,903,199,973,7.84
276,1/1/1990,22.68,233931,1078,24345,104602,15660,88247,2814,9197,4865,830,1214,1155,188,982,8.21
275,2/1/1990,21.54,209923,974,20835,95225,14227,78662,2241,8399,4594,833,1557,898,203,946,8.47
274,3/1/1990,20.28,230434,954,23107,103793,15743,86837,2678,7965,4429,1054,1157,893,177,850,8.59
273,4/2/1990,18.54,222215,963,22070,100624,15060,83498,2562,7858,4198,969,1149,1005,198,925,8.79
272,5/1/1990,17.4,227179,962,22849,102615,15684,85069,2681,8834,4574,1008,1225,1087,220,981,8.76
271,6/1/1990,17.07,213175,874,21677,98409,14971,77245,2216,8747,4460,778,1153,1070,180,942,8.48
270,7/2/1990,20.69,222371,847,22537,101738,15114,82134,2544,9048,4992,860,1369,1007,169,899,8.47
269,8/1/1990,27.35,225886,861,23623,102782,15242,83378,2468,8644,4921,881,1189,1014,203,952,8.75
268,9/3/1990,39.51,216715,816,21949,99191,14757,80002,2485,7361,3944,755,1286,1062,97,924,8.89
267,10/1/1990,35.23,233799,865,23664,105043,15442,88785,2519,6717,3517,557,1619,982,183,917,8.72
266,11/1/1990,28.85,221598,824,22679,101341,14985,81768,2424,7003,3629,574,1581,1142,209,902,8.39
265,12/3/1990,28.44,227463,876,21322,103708,14838,86719,2399,6439,3428,499,1587,975,161,987,8.08
264,1/1/1991,21.54,232498,848,22350,106978,15228,87094,2338,7103,3898,504,1934,1005,194,978,8.09
263,2/1/1991,19.16,213836,768,21209,97369,13897,80592,2127,6865,3815,721,1566,959,151,1135,7.85
262,3/1/1991,19.63,233926,766,22924,107107,15287,87842,1807,6646,3623,531,1683,998,157,1058,8.11
261,4/1/1991,20.96,225256,844,22415,104338,14810,82849,2182,7418,3744,677,1764,845,163,1103,8.04
260,5/1/1991,21.13,229670,816,22893,106413,14869,84679,2221,8518,4724,860,2258,997,163,1027,8.07
259,6/3/1991,20.56,219610,582,21600,101426,14359,81643,2277,8245,4498,832,1841,1135,169,986,8.28
258,7/1/1991,21.68,227756,754,22677,104229,14795,85301,2894,7755,4232,833,1725,1102,163,848,8.27
257,8/1/1991,22.26,226801,786,22294,104720,14839,84162,2974,8670,4602,1016,2019,1070,219,1011,7.9
256,9/2/1991,22.23,221029,818,21011,102079,14251,82871,2785,7826,3956,489,1708,1163,168,1137,7.65
255,10/1/1991,23.37,230557,946,21785,105650,14407,87768,3354,7467,4023,651,1671,1087,128,936,7.53
254,11/1/1991,21.48,219833,854,20781,101539,14013,82646,3365,7615,4171,704,1778,1065,145,1107,7.42
253,12/2/1991,19.12,226267,879,21347,106000,14601,83439,3195,7337,3791,617,1645,987,138,1083,7.09
252,1/1/1992,18.9,228178,898,21647,106196,14324,85113,3119,7712,4224,593,2017,1119,158,1045,7.03
251,2/3/1992,18.68,214269,797,20159,99221,13701,80391,3257,6827,3549,322,1776,1028,114,1147,7.34
250,3/2/1992,19.44,227798,851,21568,105808,14509,85063,3304,7068,3606,441,1707,1106,101,1100,7.54
249,4/1/1992,20.85,218775,834,21232,101477,13981,81251,3483,8092,4085,798,1734,1079,150,1121,7.48
248,5/1/1992,22.11,222227,817,20880,103837,14440,82253,3648,7823,4118,773,1764,1038,57,1013,7.39
247,6/1/1992,21.6,215019,839,20583,100033,13807,79757,3193,7946,4029,740,1744,1059,135,970,7.26
246,7/1/1992,21.87,221064,805,21027,103399,14239,81594,4059,8479,4339,900,1713,1163,103,1044,6.84
245,8/3/1992,21.48,214575,844,20766,98631,14067,80267,3574,8260,4144,815,1594,1102,156,1038,6.59
